ActivityCode,Competition,,,,,,,,
NULL,Unknown,,,,,,,,
1066,SBRI - Independence Matters (Home and Away) Phase 1,,,,,,066,,66
1067,Rotorcraft Technology Validation Programme May-10,,,,,,067,,67
1069,SBRI - Renewable Content of Waste â€“ Defra,,,,,,069,,69
1073,Genomes UK: Exploiting the Potential of High- Throughput Seqencing Oct-10,,,,,,073,,73
1074,Harnessing Large and Diverse Sources of Data Sept-10,,,,,,074,,74
1075,Tech Inspired - High Value Manufacturing - Main Oct-10,,,,,,075,,75
1076,Manufacturing High Value Chemicals through Industrial Biotechnology FS Oct-10,,,,,,076,,76
1077,Building Performance Evaluation (Dom Ph3) Nov-10,,,,,,077,,77
1078,Tech Inspired - EPES - Main Oct-10,,,,,,078,,78
1079,Tech Inspired - Nanothechnology - Main Oct-10,,,,,,079,,79
1080,Tech Inspired - Advanced Materials - Main Oct-10,,,,,,080,,80
1081,Tech Inspired - Biosciences - Main Oct-10,,,,,,081,,81
1082,SBRI -  Measurement of the energy yield from the biobased fraction of mixed waste,,,,,,082,,82
1083,Aretmis Phase 3 - Feb 10,,,,,,083,,83
1084,Eureka ENIAC Phase 2 -  Feb 10,,,,,,084,,84
1101,Eureka Eurostars Phase 5 - Feb 11,,,,,,101,,101
1102,CADI - creating sustainable value chain (Rd2) Mar-11,,,,,,102,,102
1103,Metadata Production Tools Mar-11,,,,,,103,,103
1104,Metadata production tools (main) Mar-11,,,,,,104,,104
1106,Feasibility Studies in Digital Services Jan-11,,,,,,106,,106
1109,Developing business models and value systems Jan-11,,,,,,109,,109
1110,Next Generation Vertical Lift Programme  Apr-11,,,,,,110,,110
1110,SBRI - Independence Matters (Home and Away) Phase 2,,,,,,110,,110
1110,Manufacturing High Value Chemicals through Industrial Biotechnology (MS)- Oct 10,,,,,,110,,110
1110,Building Performance Evaluation (5) Domestic (Follow on project) Jun-11,,,,,,110,,110
1110,Proof of Concept Jun - 11,,,,,,110,,110
1110,Boosting innovation in manufacturing competencies Jan-12,,,,,,110,,110
1110,Metadata production tolls FT2 - Mar-11,,,,,,110,,110
1111,Proof of Market Jul-11,,,,,,111,,111
1111,Proof of Concept Jul-11,,,,,,111,,111
1111,Development of Prototype Jul-11,,,,,,111,,111
1111,Proof of Market Round 3  Sept -11,,,,,,111,,111
1111,Proof of Concept  Round 3 Sept - 11,,,,,,111,,111
1111,Development of Prototype  Sept -11,,,,,,111,,111
1111,Proof of Market Round 4 Nov - 11,,,,,,111,,111
1111,Proof of Concept  Round 4 Nov - 11,,,,,,111,,111
1111,Development of Prototype  Round 4 Nov-11,,,,,,111,,111
1111,Proof of Market Round 5 Jan-12,,,,,,111,,111
1111,Sustainable Protein Production Apr-11,,,,,,111,,111
1112,Proof of Concept Round 5 Jan - 12,,,,,,112,,112
1112,Development of Prototype  Round 5 Jan-12,,,,,,112,,112
1112,Proof of Market Round 6 Mar - 12,,,,,,112,,112
1112,Proof of Concept  Round 5 Mar- 12,,,,,,112,,112
1112,Development of Prototype  Round 6 Mar - 12,,,,,,112,,112
1112,Proof of Concept Jun - 11,,,,,,112,,112
1112,Stevenage Bioscience Park,,,,,,112,,112
1112,Sea Angel Programme Feb - 11,,,,,,112,,112
1112,Tech Inspired Information & Communication Technologies - FS Jan-11,,,,,,112,,112
1113,Technology Inspired Innovation - BIO Oct - 11,,,,,,113,,113
1113,Technology Inspired Innovation - NANO Oct - 11,,,,,,113,,113
1113,Technology Inspired Innovation - ICT Oct - 11,,,,,,113,,113
1113,Technology Inspired Innovation - AM Oct - 11,,,,,,113,,113
1113,Nanoscale technology enabled healthcare: building the supply chain Nov - 11,,,,,,113,,113
1113,SBRI : DALLAS - 2 Phase Award,,,,,,113,,113
1113,Space for Growth (FT) Oct - 11,,,,,,113,,113
1113,DIIA: Assessing the impact of near patient testing,,,,,,113,,113
1113,Carbon Abatement Technologies - Phase 2 Demonstrator Nov - 11,,,,,,113,,113
1113,Tech Inspired - High Value Manufacturing  - FS Jan-11,,,,,,113,,113
1114,Sepsis 2 : Advancing biomaker use in sepsis management Sept - 11,,,,,,114,,114
1114,Space for Growth Flagship Oct - 11,,,,,,114,,114
1114,Smart power distribution and demand Stand 1 Jan - 12,,,,,,114,,114
1114,Smart power distribution and demand Strand 2 Jan-12,,,,,,114,,114
1114,Eureka Eurostars Phase 6 - Sept 11,,,,,,114,,114
1114,Narec Wind Development Centre Fujin Apr-11,,,,,,114,,114
1114,Tech Inspired - EPES - FS Jan-11,,,,,,114,,114
1115,Narec Site Infrastructure Apr-11,,,,,,115,,115
1115,Narec National Blade Test Facility BT2 Apr-11,,,,,,115,,115
1115,The Road to Market Feb-12,,,,,,115,,115
1115,Technology Inspired Innovation (FS) ADV Mar-12,,,,,,115,,115
1115,Technology Inspired Innovation (FS) BIO Mar-12,,,,,,115,,115
1115,Tech Inspired- Nanotechnology - FS Jan-11,,,,,,115,,115
1116,Technology Inspired Innovation  (FS) EPES Mar-12,,,,,,116,,116
1116,Technology Inspired Innovation ( FS) ICT Mar-12,,,,,,116,,116
1116,Sustainable manufacturing for the process industry (FS) Feb-12,,,,,,116,,116
1116,Sustainable manufacturing for the process industry (Main) Feb-12,,,,,,116,,116
1116,Building Performance Evaluation (Dom Ph 7) Dec-11,,,,,,116,,116
1116,Building Performance Evaluation (ND Ph 7) Oct-11,,,,,,116,,116
1116,Low Carbon water pumping (Env. Agency) Feb-12,,,,,,116,,116
1116,tech Inspired - Advance Materials - FS Jan-11,,,,,,116,,116
1117,Tech Inspired - Biosciences - FS Jan-11,,,,,,117,,117
1118,Feasibility Studies for Innovation in Space Jan-11,,,,,,118,,118
1119,Innflammatory biomarkers for effective drugs Jan-11,,,,,,119,,119
1120,Tumour profiling & data capture to improve cancer care Jan-11,,,,,,120,,120
1121,Building Performance Evaluation (ND Ph3) Nov-10,,,,,,121,,121
1123,Building Performance Evaluation (Dom Ph4) Feb-11,,,,,,123,,123
1125,SBRI -  Have I Got Views for You  ( INSTINCT ),,,,,,125,,125
1126,Regenerative Medicine Prog 2: Development Therapeutics Mar-11,,,,,,126,,126
1127,Regenerative Medicine Prog 2 : Tools & Technologies Mar-11,,,,,,127,,127
1132,FS for Responsible Development of Nanoscale Technologies Jan-11,,,,,,132,,132
1133,Highly innovative strategic technologies in Low Carbon Vehicles Mar-11,,,,,,133,,133
1135,Ambient Assisted Living Phase 4 - Apr 11,,,,,,135,,135
1141,Batteries for Low & Ultra Low Carbon Vehicles : Recycling & Re-Use Mar-11,,,,,,141,,141
1142,Disruptive technologies in low carbon vehicles Mar-11,,,,,,142,,142
1147,Nutrition for life (Fesibility Study) May-11,,,,,,147,,147
1149,Tech City Launchpad 1 May - 11,,,,,,149,,149
1158,SBRI : DALLAS Jan-12,,,,,,158,,158
1159,Building Performance Evaluation (Dom Ph5) Jun-11,,,,,,159,,159
1160,Building Performance Evaluation (ND Ph4) Jun-06,,,,,,160,,160
1162,Design for Future Climate : Adapting Buildings (FT 2) May-11,,,,,,162,,162
1163,Materials for Energy Jun-11,,,,,,163,,163
1164,ICT for manufacturing and construction Jun-11,,,,,,164,,164
1165,Nutrition for Life (main)  - May 11,,,,,,165,,165
1168,Eranet ERACOBUILD - Feb 11,,,,,,168,,168
1171,Inspiring new design freedoms in additive manufacturing 3D printing Dec-12,,,,,,171,,171
1175,Carbon Abatement Technologies - Phase 2 (FS) Nov - 11,,,,,,175,,175
1176,Sepsis 1 : Multi-pathogen detection and or simple discrimination Aug - 11,,,,,,176,,176
1178,Marine energy:Supporting array technologies Mar-12,,,,,,178,,178
1179,Water Security - FS Mar-12,,,,,,179,,179
1180,Technology Inspired Innovation - EPES Oct - 11,,,,,,180,,180
1181,Building Performance Evaluation (Dom) Oct - 11,,,,,,181,,181
1182,Building Performance Evaluation (Non Dom) Oct - 11,,,,,,182,,182
1184,Manufacturing High Value Chemicals through Industrial Biotechnology - Oct 10,,,,,,184,,184
1187,Resource Efficiency :Supply Chain Innovation Oct - 11,,,,,,187,,187
1189,Internet of Things convergence Oct-11,,,,,,189,,189
1190,Accelerating Innovation in Rail - Nov 11,,,,,,190,,190
1191,HI TEA  Feb-12,,,,,,191,,191
1192,Low Carbon Truck-Demo Trial Apr-12,,,,,,192,,192
1194,Proof of Market FY 11-12,,,,,,194,,194
1195,Proof of Concept FY 11-12,,,,,,195,,195
1196,Development of Prototype FY 11-12,,,,,,196,,196
1197,Cell Therapies Oct - 11,,,,,,197,,197
1202,Rethinking the build process May-12,,,,,,20,4,20
1210,Fuel cells and hydrogen whole system integration Jan-12,,,,,,21,4,21
1211,HIVMan Capital Equipment Mar-12,,,,,,21,4,21
1212,SAMULET APR - 12,,,,,,21,4,21
1213,Water Security - Main Mar-12,,,,,,21,4,21
1215,Open Data Institute Jul-12,,,,,,21,4,21
1216,Narec Operations,,,,,,21,4,21
1217,"Innovation for growth in agriculture,food and drink Apr-12",,,,,,21,4,21
1218,Proof of Market Round 1 Apr-12,,,,,,21,4,21
1219,Proof of Concept Round 1 Apr-12,,,,,,21,4,21
1220,Development of Prototype Round 1 Apr-12,,,,,,22,4,22
1221,Digital Convergence - FS Stand 1 (Hyperiocal Media) Apr-12,,,,,,22,4,22
1222,Digital Convergence - FS Stand 2 (Cross platform content orig) Jul-12,,,,,,22,4,22
1223,Digital Convergence - FS Stand 3 (Feedback loops & metrics)  Oct-12,,,,,,22,4,22
1225,Structures Technology Maturity (STeM) Jun-12,,,,,,22,4,22
1226,Integrated Turboprop Propulsion System  Jun-12,,,,,,22,4,22
1227,Experimental Aerodynamics (ExpAERO) Jun-12,,,,,,22,4,22
1228,The Aircraft Research Assoc. R&D ( ARA-R&D) Jun-12,,,,,,22,4,22
1229,The (ARA- - R&D) Capital Equipment project  Jun-12,,,,,,22,4,22
1230,Intergrated Wing Optimisation (AIWO)  Jun-12,,,,,,23,4,23
1231,SILOET II Jun-12,,,,,,23,4,23
1232,Food processing and Manufacturing Efficiency  Apr-12,,,,,,23,4,23
1233,Developing innovation in the oil and gas sector Jun-12,,,,,,23,4,23
1234,Invest in Innovative Refurbishment Apr-12,,,,,,23,4,23
1236,Developing the civil nuclear power supply chain (CR&D) Jul-12,,,,,,23,4,23
1237,Biomedical Catayst (Rnd 1 FS) May-12,,,,,,23,4,23
1238,Future Cities Demonstrator Jun-12,,,,,,23,4,23
1239,Stratitfied medicine: Determining patient response. Phase 1 Mar -12,,,,,,23,4,23
1241,Proof of Market Round 2 May-12,,,,,,24,4,24
1242,Proof of Concept Round 2 May-12,,,,,,24,4,24
1243,Development of Prototype Round 2 May-12,,,,,,24,4,24
1244,Satellite Applications Catapult Nov-12,,,,,,24,4,24
1245,Innovating in the cloud  (CRD) Jul-12,,,,,,24,4,24
1246,Satellite Applications ( Interim Funding),,,,,,24,4,24
1249,Innovating in the cloud  Jul-12,,,,,,24,4,24
1250,Developing the civil nuclear power supply chain (FS) Jul-12,,,,,,25,4,25
1251,Biomedical Catayst - Early Stage Apr-12,,,,,,25,4,25
1253,Biomedical Catayst - Late Stage Apr-12,,,,,,25,4,25
1255,Climate Resilient Infrastructure Jul-12,,,,,,25,4,25
1256,Building UK leadership in aerdynamics Jul- 12,,,,,,25,4,25
1257,Proof of Market Round 3 Jul-12,,,,,,25,4,25
1258,Proof of Concept Round 3 Jul-12,,,,,,25,4,25
1259,Development of Prototype Round 3 Jul-12,,,,,,25,4,25
1260,"Local economy closed loops for high -value opportunities ( metals, minerals in water & streams)  Jul-12",,,,,,26,4,26
1261,Cell Therapy - property establishment cost  Nov-12,,,,,,26,4,26
1263,Ambient Assisted Living Phase 5 May -12,,,,,,26,4,26
1264,Invest in Innovative Refurbishment Tranche B Phase 1 Oct-12,,,,,,26,4,26
1267,Innovation in manufacturing competences -FS Sept-12,,,,,,26,4,26
1268,Sustainable HVMAN through industrial biotechnology - BM Oct-12,,,,,,26,4,26
1269,Sustainable HVMAN through industrial biotechnology - Tech FS Oct-12,,,,,,26,4,26
